OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177622502                                            
Config info:
LaserDAC,68
FanDAC,255
ToFtoSFRfactor,58
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
541,47,18,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,27,23,0,0.680,6.450,31.921,43.715,10.522,16.555,43.704,103,0,2032,11,0,596
506,62,17,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,30,0,0.680,6.690,31.950,43.636,9.928,16.262,19.487,103,0,1964,6,0,596
546,54,13,2,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,31,0,0.680,6.530,31.950,43.636,10.031,16.458,50.260,119,0,2070,11,0,596
588,58,21,3,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,28,34,0,0.680,6.730,31.964,43.665,11.075,17.796,83.150,121,0,1968,11,0,596
572,69,12,5,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,28,40,36,0.680,6.540,31.964,43.678,11.120,18.021,99.293,104,0,1949,6,0,596
482,59,15,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,33,34,0.680,6.730,31.977,43.585,8.886,14.410,22.853,118,0,2027,11,0,596
513,55,17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0.680,6.830,31.990,43.558,9.484,12.198,12.459,115,0,2074,15,0,596
459,61,26,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,9,0,0.680,6.890,31.977,43.572,9.940,15.734,18.196,107,0,2012,12,0,596
514,50,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,0,0,0.680,6.640,31.990,43.503,8.878,10.323,10.413,125,0,1978,16,0,596
537,52,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,0.680,6.780,31.977,43.476,9.694,11.833,11.986,103,0,2002,18,0,596
