timestamp,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1,MToFBin3,MToFBin5,MToFBin7,SamplingPeriod,SFR,Temp,RH,PM_1.000,PM_2.500,PM_10.000,RjtGlitch,RjtLong,RjtRatio,RjtRange,FanRevs,LaserStatus,filename
2023-10-25 15:23:57.214,514,57,21,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,27,30,45,0.68,6.39,31.667,44.327,10.594,15.319,47.77,109,0,1872,14,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:23:58.610,533,46,14,1,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,0,0,0.68,6.38,31.681,44.328,10.001,14.678,124.254,105,0,1884,9,0,594,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:00.005,490,55,9,5,4,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,28,36,0,0.68,6.37,31.697,44.281,9.814,18.865,138.355,109,0,1909,14,0,594,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:01.401,525,46,10,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,0.68,6.61,31.667,44.327,9.464,13.672,43.206,108,0,1884,8,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:02.796,538,65,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,0,0,0.68,6.48,31.71,44.269,10.308,13.888,14.292,117,0,2019,4,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:04.192,506,69,9,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,36,0,0.68,6.42,31.723,44.319,9.726,17.052,36.057,98,0,1758,14,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:05.587,546,48,17,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,10,0,0.68,6.39,31.71,44.319,10.223,14.948,17.5,108,0,1904,14,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:06.983,515,50,13,5,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,35,0,0.68,6.63,31.723,44.309,9.596,16.219,75.943,104,0,1836,14,0,595,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:08.378,503,69,14,1,2,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24,27,0,39,0.68,6.22,31.723,44.359,10.378,18.519,179.416,83,0,1832,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:09.774,496,58,12,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,29,35,0.68,6.28,31.723,44.283,9.868,17.004,26.203,107,0,1891,11,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:11.169,520,64,9,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0.68,6.32,31.766,44.126,9.944,14.203,64.627,92,0,1786,17,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
2023-10-25 15:24:12.565,460,52,10,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,38,0.68,6.6,31.766,44.136,8.568,13.297,25.215,93,0,1792,12,0,596,n3_20231111_215901_CCD__OPC2_010.CSV
